row_id,description,name,st_x,st_y,presence,geometry
1,,,-44.6727011931,-23.0029826555,1,"<Point><coordinates>-44.672701,-23.002983</coordinates></Point>"
2,,,-54.6776723296,-25.0639573426,1,"<Point><coordinates>-54.677672,-25.063957</coordinates></Point>"
3,,,-56.2197766458,-25.8472969685,1,"<Point><coordinates>-56.219777,-25.847297</coordinates></Point>"
4,,,-54.6148186954,-25.364294477,1,"<Point><coordinates>-54.614819,-25.364294</coordinates></Point>"
5,,,-53.9115191325,-24.916988153,1,"<Point><coordinates>-53.911519,-24.916988</coordinates></Point>"
6,,,-39.1264597263,-15.1746694679,1,"<Point><coordinates>-39.12646,-15.174669</coordinates></Point>"
7,,,-54.9087529036,-25.6858298366,1,"<Point><coordinates>-54.908753,-25.68583</coordinates></Point>"
8,,,-39.8055362629,-18.2639240584,1,"<Point><coordinates>-39.805536,-18.263924</coordinates></Point>"
9,,,-54.6970556605,-26.0453898361,1,"<Point><coordinates>-54.697056,-26.04539</coordinates></Point>"
10,,,-43.4078804049,-22.5620306613,1,"<Point><coordinates>-43.40788,-22.562031</coordinates></Point>"
11,,,-55.7244428024,-26.4520200833,1,"<Point><coordinates>-55.724443,-26.45202</coordinates></Point>"
12,,,-58.4111152899,-19.9522349498,1,"<Point><coordinates>-58.411115,-19.952235</coordinates></Point>"
13,,,-54.4484718636,-24.7850486089,1,"<Point><coordinates>-54.448472,-24.785049</coordinates></Point>"
14,,,-44.6536756072,-22.354699965,1,"<Point><coordinates>-44.653676,-22.3547</coordinates></Point>"
15,,,-48.5055536013,-25.6204178124,1,"<Point><coordinates>-48.505554,-25.620418</coordinates></Point>"
16,,,-54.3058648793,-25.6674114238,1,"<Point><coordinates>-54.305865,-25.667411</coordinates></Point>"
17,,,-56.8153886198,-26.0704219653,1,"<Point><coordinates>-56.815389,-26.070422</coordinates></Point>"
18,,,-40.5459101795,-19.8891331429,1,"<Point><coordinates>-40.54591,-19.889133</coordinates></Point>"
19,,,-48.3291842537,-24.3327770635,1,"<Point><coordinates>-48.329184,-24.332777</coordinates></Point>"
20,,,-54.0932682979,-25.9445397228,1,"<Point><coordinates>-54.093268,-25.94454</coordinates></Point>"
21,,,-55.6337713773,-26.0943374883,1,"<Point><coordinates>-55.633771,-26.094337</coordinates></Point>"
22,,,-49.9657573226,-23.1860868908,1,"<Point><coordinates>-49.965757,-23.186087</coordinates></Point>"
23,,,-49.6606178663,-24.1740303453,1,"<Point><coordinates>-49.660618,-24.17403</coordinates></Point>"
24,,,-55.4059711862,-24.1350197041,1,"<Point><coordinates>-55.405971,-24.13502</coordinates></Point>"
25,,,-51.2520017817,-23.4506332942,1,"<Point><coordinates>-51.252002,-23.450633</coordinates></Point>"
26,,,-53.1420258195,-25.4377342371,1,"<Point><coordinates>-53.142026,-25.437734</coordinates></Point>"
27,,,-54.5070784447,-25.2061248168,0,"<Point><coordinates>-54.507078,-25.206125</coordinates></Point>"
28,,,-54.4007277633,-24.3588709017,0,"<Point><coordinates>-54.400728,-24.358871</coordinates></Point>"
29,,,-54.3022655732,-24.0316151676,0,"<Point><coordinates>-54.302266,-24.031615</coordinates></Point>"
30,,,-53.8361164524,-24.2825228074,0,"<Point><coordinates>-53.836116,-24.282523</coordinates></Point>"
31,,,-52.5782494743,-26.4620770175,0,"<Point><coordinates>-52.578249,-26.462077</coordinates></Point>"
32,,,-52.3320982145,-24.1615936222,0,"<Point><coordinates>-52.332098,-24.161594</coordinates></Point>"
33,,,-52.1284444272,-27.2980746151,0,"<Point><coordinates>-52.128444,-27.298075</coordinates></Point>"
34,,,-52.0607173096,-25.9263599121,0,"<Point><coordinates>-52.060717,-25.92636</coordinates></Point>"
35,,,-51.9690612238,-23.9157637375,0,"<Point><coordinates>-51.969061,-23.915764</coordinates></Point>"
36,,,-51.490816938,-22.7846029125,0,"<Point><coordinates>-51.490817,-22.784603</coordinates></Point>"
37,,,-51.0317074567,-23.2571874158,0,"<Point><coordinates>-51.031707,-23.257187</coordinates></Point>"
38,,,-50.2385097407,-24.5833978982,0,"<Point><coordinates>-50.23851,-24.583398</coordinates></Point>"
39,,,-50.0045804144,-25.235443605,0,"<Point><coordinates>-50.00458,-25.235444</coordinates></Point>"
40,,,-49.697072458,-22.4042527675,0,"<Point><coordinates>-49.697072,-22.404253</coordinates></Point>"
41,,,-49.6938835802,-25.7902640843,0,"<Point><coordinates>-49.693884,-25.790264</coordinates></Point>"
42,,,-49.0902643349,-25.0373685061,0,"<Point><coordinates>-49.090264,-25.037369</coordinates></Point>"
43,,,-43.0527640596,-22.480799575,0,"<Point><coordinates>-43.052764,-22.4808</coordinates></Point>"
44,,,-41.7869261346,-20.4466489134,0,"<Point><coordinates>-41.786926,-20.446649</coordinates></Point>"
45,,,-40.1165156369,-19.00763393,0,"<Point><coordinates>-40.116516,-19.007634</coordinates></Point>"
46,,,-39.8999001519,-19.6777881026,0,"<Point><coordinates>-39.8999,-19.677788</coordinates></Point>"
47,,,-39.7321911241,-18.4262326319,0,"<Point><coordinates>-39.732191,-18.426233</coordinates></Point>"
